fecha,presentacion,origen,destino,precio_min,precio_max,precio_frec,obs,name
19/12/2018,Caja de 17 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",10.59,10.59,10.59,,naranja valencia grande_primera
20/12/2018,Caja de 17 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",10.59,10.59,10.59,,naranja valencia grande_primera
21/12/2018,Caja de 17 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",10.59,10.59,10.59,,naranja valencia grande_primera
24/12/2018,Caja de 17 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",10.59,10.59,10.59,,naranja valencia grande_primera
26/12/2018,Caja de 17 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",10.59,10.59,10.59,,naranja valencia grande_primera
27/12/2018,Caja de 17 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",10.59,10.59,10.59,,naranja valencia grande_primera
28/12/2018,Caja de 17 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",10.59,10.59,10.59,,naranja valencia grande_primera
31/12/2018,Caja de 17 kg.,Importación,"Baja California : Central de Abasto INDIA, Tijuana",10.59,10.59,10.59,,naranja valencia grande_primera
02/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.80,0.80,0.80,,naranja valencia grande_primera
03/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.80,0.80,0.80,,naranja valencia grande_primera
04/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.80,0.80,0.80,,naranja valencia grande_primera
05/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.80,0.80,0.80,,naranja valencia grande_primera
08/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.80,0.80,0.80,,naranja valencia grande_primera
09/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.80,0.80,0.80,,naranja valencia grande_primera
10/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.80,0.80,0.80,,naranja valencia grande_primera
11/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.80,0.80,0.80,,naranja valencia grande_primera
12/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.80,0.80,0.80,,naranja valencia grande_primera
15/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.80,0.80,0.80,,naranja valencia grande_primera
16/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.80,0.80,0.80,,naranja valencia grande_primera
17/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.80,0.80,0.80,,naranja valencia grande_primera
18/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.80,0.80,0.80,,naranja valencia grande_primera
19/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.95,1.00,0.95,,naranja valencia grande_primera
22/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.95,1.00,0.95,,naranja valencia grande_primera
23/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.95,1.00,0.95,,naranja valencia grande_primera
24/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.95,1.00,0.95,,naranja valencia grande_primera
25/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.95,1.00,0.95,,naranja valencia grande_primera
26/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.95,1.00,0.95,,naranja valencia grande_primera
29/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.95,1.00,0.95,,naranja valencia grande_primera
30/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.95,1.00,0.95,,naranja valencia grande_primera
31/01/2018,Ciento,Yucatán,"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",0.95,1.00,0.95,,naranja valencia grande_primera
